Tên văn phòng đại diện,Ngày cấp,Ngày hết hạn,Quốc gia,Điện thoại VPDD,Địa chỉ,Tên trưởng đại diện,Quốc tịch,Số giấy phép,Ngày cấp phép,Ngày giấy phép hết hạn,Lĩnh vực hoạt động,Tên công ty mẹ,Địa chỉ van phong chinh,Điện thoại VPDD Chinh,Năm thành lập,Nơi ĐKTL,"Bang, Tỉnh, TP",Vốn điều lệ
"CHAMPION SYSTEM KOREA CO., LTD.",2015-02-03 10:09:12.757,2020-02-03 00:00:00.0,Việt Nam,,"12, 146-148, Cộng Hòa, phường 12, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thị Hồng Trang,Việt Nam,"41-004265
Thương mại",2015-02-03 10:09:12.757,2020-02-03 00:00:00.0,"Thương mại : Quần áo và đồ phụ kiện,","Champion System Korea Co., Ltd.","(Yangjae-dong, yangjaedong, yangjae venturebilding), 408, 221, Gangnam-daero, Seocho-gu, Seoul, Korea",0234985700,0,Hàn Quốc,,0 USD
BLB COMMODITIES PRIVATE LIMITED,2011-11-21 00:00:00.0,2012-11-21 00:00:00.0,Ấn Độ,,,Ravindran Thiruvengadam,Ấn Độ,41-003449,2011-11-21 00:00:00.0,2012-11-21 00:00:00.0,,BLB Commodities Private Limited,"28A, Annexe II. IIIrd Floor, ECE House, K.G. Marg, New Delhi - 110001,Ấn Độ",91 11 32968111,2003,Ấn Độ,,0 USD
"YASUDA DISTRIBUTION CO., LTD.",2012-10-01 00:00:00.0,2013-09-30 00:00:00.0,Nhật Bản,,,Yasuda Mina,Nhật Bản,41-003676,2012-10-01 00:00:00.0,2013-09-30 00:00:00.0,,"Yasuda Distribution Co., Ltd.","114-1 Shimooyamada Aza Seiimukai, Sukagawa-shi, Fukushima, Japan",0081-24879-2173,1990,Nhật Bản,,0 USD
HCP HEALTHCARE ASIA PTE. LTD.,2012-05-10 00:00:00.0,2021-05-10 00:00:00.0,,38328892,,,,41-003578,2012-05-10 00:00:00.0,2021-05-10 00:00:00.0,,HCP Healthcare Asia Pte. Ltd.,"3 Biopolis Drive, # 01 - 13/14, Synapse, Singapore (138623)",65 67265523,2011,Singapore,,4.011.642 USD
STX CORPORATION,2014-08-26 00:00:00.0,2017-08-26 00:00:00.0,,08 38275885,"1405, cao ốc văn phòng HMTC, 14, 138-142, Hai Bà Trưng, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",,,41-004150,2014-08-26 00:00:00.0,2017-08-26 00:00:00.0,,STX Corporation,"(Jungang-dong) 105 Jungang-daero, Seongsan-gu, Changwon-si, Gyeongsangnam-do, Korea",8223169600,1976,Hàn Quốc,,0 USD
INTERNATIONAL MARITIME &amp; TRADING PTE. LTD.,2014-07-04 00:00:00.0,2015-07-04 00:00:00.0,Ấn Độ,,"1, 43, Mạc Đĩnh Chi, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Dhyani Prabhat,Ấn Độ,"41-004103
Dịch vụ",2014-07-04 00:00:00.0,2015-07-04 00:00:00.0,"Dịch vụ : Giao nhận, vận tải đường biển,",International Maritime &amp; Trading Pte. Ltd.,"798 Woodlands Drive 72, #03-73, Singapore (730798)",+6563620908,2010,Singapore,,60.002 USD
FORWARD GEAR (PRIVATE) LIMITED,2013-01-23 00:00:00.0,2018-01-23 00:00:00.0,,,,,,41-003779,2013-01-23 00:00:00.0,2018-01-23 00:00:00.0,,Forward Gear (Private) Limited,"Adha Sohowala, Munder Khurd Sahowala, Wazirabad Road, Sialkot, Pakistan",92523571992-5,2008,Pakistan,,0 USD
"POONG IN TRADING CO., LTD.",2014-01-06 00:00:00.0,2017-01-06 00:00:00.0,Hàn Quốc,,,Kim (wife of Choi) Eunkyoung,Hàn Quốc,41-004003,2014-01-06 00:00:00.0,2017-01-06 00:00:00.0,,"Poong In Trading Co., Ltd.","(Mullae-dong3(sam)-ga, 19F/Ace High Tech City B/D 2 Dong), 775, Gyeongin-ro, Yeongdeungpo-gu, Seoul, Korea",82 2 5498318,1989,Hàn Quốc,,0 USD
"HARINA CHEMICALS INDUSTRY, PT",2014-12-23 13:50:49.404,2021-04-08 00:00:00.0,Singapore,,"L14-08B, Vincom Center, 14, 72, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Koh Khim Lin,Singapore,"79-04237-01
Thương mại",2014-12-23 13:50:49.404,2021-04-08 00:00:00.0,"Thương mại : Phân bón, thuốc trừ sâu,","Harina Chemicals Industry, PT","JL.Kayu Putih Tengah I Blok B-2 RT 011 RW 007, Kel. Pulogadung Kec. Pulogadung, East Jakarta 13260, Indonesia",62214718102,0,Indonesia,,0 USD
VĂN PHÒNG ĐẠI DIỆN KONOHANA GLOBAL PACKAGING PTE. LTD. TẠI THÀNH PHỐ HỒ CHÍ MINH.,2014-11-07 10:13:33.6,2023-08-15 00:00:00.0,Nhật Bản,39 259 446,"804, Zen Plaza, 8, 54-56, Nguyễn Trãi, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",Aya Oda,Nhật Bản,"79-04202-01
Thương mại",2014-11-07 10:13:33.6,2023-08-15 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Konohana Global Packaging Pte. Ltd.,"228 Changi Road, #02-02, Icon@Changi, Singapore (419741)",6581391161,0,Singapore,,129.161 USD
"DAE KWANG CORP., LTD.",2014-01-24 00:00:00.0,2019-01-24 00:00:00.0,Hàn Quốc,35926485,,Kim MunSu,Hàn Quốc,41-004017,2014-01-24 00:00:00.0,2019-01-24 00:00:00.0,,"Dae Kwang Corp., Ltd.","53, Jinbeol-ro51beon-gil, Jinjeop-eup, Namyanggju-si, Gyeonggi-do, Korea",822 4728950,1996,Hàn Quốc,,0 USD
POSCO - SOUTH ASIA COMPANY LIMITED,2011-07-28 00:00:00.0,,Hàn Quốc,,,Seo Do Seok,Hàn Quốc,41-003344,2011-07-28 00:00:00.0,,,POSCO - South Asia Company Limited,"87/2 CRC Tower, All Seasons Place, 51th Floor, Units 1 &amp; 5, Wittayu Road, Khwang Lumpini, Khet Pathumwan, Bangkok, Thailand",66-0-2-654-3600,2010,Thái Lan,,0 USD
"NIPPON SEAM KOGYO CO., LTD",2014-03-10 00:00:00.0,2017-03-09 00:00:00.0,Nhật Bản,,,WATARAI KATSUJI,Nhật Bản,41-004034,2014-03-10 00:00:00.0,2017-03-09 00:00:00.0,,"Nippon Seam Kogyo Co., Ltd","83-1 Hayasu-sho, Nishiwaki-shi, Hyogo, Japan",0795-23-4521,1968,Nhật Bản,,0 USD
"HANGZHOU CIEC GROUP CO., LTD.",2011-01-10 00:00:00.0,2019-01-10 00:00:00.0,Trung Quốc,,"905, 9, 2 Bis-4-6, Lê Thánh Tôn, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",JIANG RIZHONG,Trung Quốc,41-003174,2011-01-10 00:00:00.0,2019-01-10 00:00:00.0,,"Hangzhou CIEC Group Co., Ltd.","167N, Huancheng Road, Xiacheng District, Hangzhou, China",,2001,Trung Quốc,,0 USD
VĂN PHÒNG ĐẠI DIỆN NISSHO IWAI PAPER &amp; PULP CORPORATION TẠI THÀNH PHỐ HỒ CHÍ MINH.,2014-06-06 00:00:00.0,2019-06-05 00:00:00.0,,,"401, 4, tòa nhà Hoa Lâm, 2, Thi Sách, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",,,"41-004085
Thương mại",2014-06-06 00:00:00.0,2019-06-05 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Nissho Iwai Paper &amp; Pulp Corporation,"1 - 11 -30, Akasaka, Minato - ku, Tokyo, Japan",81 3 62346 350,1988,Nhật Bản,,327.800.000 USD
"CIKO CO., LTD",2011-11-30 00:00:00.0,,,,,,,41-003456,2011-11-30 00:00:00.0,,,"CIKO CO., LTD","Parkview Office Tower, 10th floor #1005, 1006, 6 Jeongja-dong, Bundang-gu, Seongnam-si, Gyeonggi-do, Korea",82-31-7124-9780,2002,Hàn Quốc,,0 USD
REVOCOMMUNITY CORP.,2013-06-14 00:00:00.0,2016-06-13 00:00:00.0,Nhật Bản,,,Shigeta Shohei,Nhật Bản,41-003873,2013-06-14 00:00:00.0,2016-06-13 00:00:00.0,,Revocommunity Corp.,"5-24-16 Nishi Shinjuku Shinjuku-ku Tokyo, Japan",81-03-6206-0928,2009,Nhật Bản,,0 USD
SAISHAKTI HK PVT LIMITED,2013-03-25 00:00:00.0,2018-04-29 00:00:00.0,Ấn Độ,,,Joe Madappalli,Ấn Độ,41-003812,2013-03-25 00:00:00.0,2018-04-29 00:00:00.0,,Saishakti HK Pvt Limited,"Flat/Rm 05 8/F, Catic Building, 44 Tsun Yip Street, Kwun Tong, KL, Hongkong",+85227723086,2010,Hồng Kông,,500.000 USD
CENTRAL NATIONAL ASIA LIMITED,2015-03-31 08:48:18.727,2020-03-31 00:00:00.0,Đan Mạch,62876172/73,"2000, Sun Wah Tower, 20, Lô G, 115, Nguyễn Huệ, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Tejlgaard Jonas Sloth,Đan Mạch,"41-004301
Thương mại",2015-03-31 08:48:18.727,2020-03-31 00:00:00.0,"Thương mại : Gỗ, lâm sản,",Central National Asia Limited,"Room 3207-08, 32/F, Ace Tower, Windsor House, 311 Gloucester Road, Causeway Bay, Hong Kong",852-2526 1288,0,Hồng Kông,,0 USD
LUSHOUS CLOTHING PTY. LTD.,2012-05-28 00:00:00.0,2018-05-28 00:00:00.0,Việt Nam,38160480,"Số 1 (C4), đường DC3, phường Sơn Kỳ, quận Tân Phú, thành phố Hồ Chí Minh, Việt Nam",Huỳnh Thị Đài Trang,Việt Nam,41-003590,2012-05-28 00:00:00.0,2018-05-28 00:00:00.0,,Lushous Clothing Pty. Ltd.,"1743 Botany Road, Banksmeadow, Sydney, Autralia",61-2-9666 1580,2002,Australia,,0 USD
PVS LABORATORIES LIMITED,2011-01-29 00:00:00.0,2021-01-29 00:00:00.0,Việt Nam,39225541,"tầng 2 (tòa nhà M-H), 728-730, Võ Văn Kiệt, Phường 01, quận 5, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Dương Hạnh Thùy,Việt Nam,41-003195,2011-01-29 00:00:00.0,2021-01-29 00:00:00.0,,PVS Laboratories Limited,"40-9-60, Kohinoor Apartments, Kala Nagar, near Benz Circle, Vijayawada-520010, Andhra Pradesh, India",91-8662483927,1997,Ấn Độ,,0 USD
"YAMAMOTO SHIGEN CO., LTD.",2010-12-24 00:00:00.0,2015-12-24 00:00:00.0,Nhật Bản,,,Suzuki Akitoshi,Nhật Bản,41-003163,2010-12-24 00:00:00.0,2015-12-24 00:00:00.0,,"Yamamoto Shigen Co., Ltd.","Shizuoka-ken, Fukuroi-shi, Shinchi 845 Banchino 14, Japan",81538446466,1991,Nhật Bản,,0 USD
"M'S TECHNOLOGY CO., LTD",2014-12-05 08:43:53.553,2019-12-05 00:00:00.0,Nhật Bản,,"B, Star Building, 3, 33ter-33bis, Mạc Đĩnh Chi, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Kuwasako Eiki,Nhật Bản,"41-004221
Thương mại",2014-12-05 08:43:53.553,2019-12-05 00:00:00.0,"Thương mại : Thiết bị bán dẫn, linh kiện điện tử,","M's Technology Co., Ltd","3-5-6-208 Minami Tsukaguchi-cho, Amagasaki-shi, Hyogo-ken, Japan",81-06-6424-5101,0,Nhật Bản,Hyogo,0 USD
BEACON NC INC.,2011-07-26 00:00:00.0,2016-07-26 00:00:00.0,Nhật Bản,54042238,,Keiji Hasegawa,Nhật Bản,41-003340,2011-07-26 00:00:00.0,2016-07-26 00:00:00.0,,Beacon NC Inc.,"Shinjuku Sumitomo Bldg., 6-1 Nishi Shinjuku 2-chome, Shinjuku-ku, Tokyo, Japan",,1999,Nhật Bản,,0 USD
"AZUMA CO., LTD",2013-03-13 00:00:00.0,2014-03-12 00:00:00.0,Nhật Bản,,,Azuma Norie,Nhật Bản,41-003808,2013-03-13 00:00:00.0,2014-03-12 00:00:00.0,,"Azuma Co., Ltd","2-1-16 Takaida Nishi, Higashi Osaka-shi, Osaka-fu, Japan",816 6782 5121,1972,Nhật Bản,,0 USD
VĂN PHÒNG ĐẠI DIỆN DOUBLE A INTERNATIONAL NETWORK COMPANY LIMITED TẠI THÀNH PHỐ HỒ CHÍ MINH.,2011-05-31 00:00:00.0,2021-06-21 00:00:00.0,Việt Nam,,"802, 8, 275B, Phạm Ngũ Lão, phường Phạm Ngũ Lão, quận 1, thành phố Hồ Chí Minh, Việt Nam",PHAN THỊ KIM HƯƠNG,Việt Nam,"79-03301-01
Thương mại",2011-05-31 00:00:00.0,2021-06-21 00:00:00.0,"Thương mại : Giấy, bao bì,",Double A International Network Company Limited,"9/F The Cameron, No 33 Cameron Road, Tsim Sha Tsui, KL, Hong Kong",852-25420936,2006,Hồng Kông,,19.024 USD
"CASTER (GUANGZHOU) RUBBER PRODUCTS CO., LTD",2010-12-06 00:00:00.0,2015-12-06 00:00:00.0,Trung Quốc,,,GUO CHENG,Trung Quốc,41-003139,2010-12-06 00:00:00.0,2015-12-06 00:00:00.0,,"Caster (Guangzhou) Rubber Products Co., Ltd","No.7 , No.1, Younghe Road GETDD, Guangzhou 511356, China",,2002,Trung Quốc,,0 USD
C AND B INC.,2012-11-02 00:00:00.0,,Hàn Quốc,,"1403, toà nhà Central Garden, 14, 225, Lô M, Bến Chương Dương, phường Cô Giang, quận 1, thành phố Hồ Chí Minh, Việt Nam",KWON YOUNG WOO,Hàn Quốc,41-003711,2012-11-02 00:00:00.0,,,C AND B INC.,"305, Rm 305, Eunju Building, 638, Gonghang-daero, Yangcheon-gu, Seoul, Korea",82 2 2668 5028-9,2004,Hàn Quốc,,0 USD
NANKAI EXPRESS COMPANY LIMITED,2013-05-07 00:00:00.0,2014-05-06 00:00:00.0,Nhật Bản,,,Takimoto Tetsuya,Nhật Bản,41-003841,2013-05-07 00:00:00.0,2014-05-06 00:00:00.0,,Nankai Express Company Limited,"1-10-4 Nambanaka, Naniwa-ku, Osaka, Japan",81-66632-6531,2002,Nhật Bản,,0 USD
"SODICK PLUSTECH (THAILAND) CO., LTD.",2011-03-18 00:00:00.0,2016-03-18 00:00:00.0,Thái Lan,,,Nutthamon Wijaivorakij,Thái Lan,41-003230,2011-03-18 00:00:00.0,2016-03-18 00:00:00.0,,"Sodick Plustech (Thailand) Co., Ltd.","No. 33/75 Wall Street Tower Office Condiminium, 15th Floor, Surawongse Road, Suriyawongse Sub-district, Bangrak District, Bangko",,2002,Thái Lan,,0 USD
DONG NAM CARGO LLC,2015-03-19 09:25:07.567,2017-02-28 00:00:00.0,,,,,,"41-004288
Thương mại",2015-03-19 09:25:07.567,2017-02-28 00:00:00.0,"Thương mại : Thực phẩm,",Dong Nam Cargo Llc,"3375 S Decatur Blvd Suite 24 Las Vegas, NV 89102 USA",(800) 234-6147,0,Hoa Kỳ,,0 USD
FUTUREWORKZ PTE. LTD.,2013-07-22 00:00:00.0,2016-07-21 00:00:00.0,Singapore,,"184/17, Điện Biên Phủ, phường 17, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Sze THo Changsheng,Singapore,"41-003895
Dịch vụ",2013-07-22 00:00:00.0,2016-07-21 00:00:00.0,"Dịch vụ : Dịch vụ tiện ích khác,",Futureworkz Pte. Ltd.,"21 Bukit Batok Crescent, # 09 - 79, Wcega Tower, Singapore (658065)",65 66523568,2005,Singapore,,12.624 USD
ANA BALAT LIMITED,2013-09-20 00:00:00.0,2014-09-19 00:00:00.0,Hà Lan,,,Yvonne Coleta Liduina Maria van Dongen,Hà Lan,41-003928,2013-09-20 00:00:00.0,2014-09-19 00:00:00.0,,Ana Balat Limited,"124 Baker Street, London W1U 6TY, United Kingdom",442079355171,2011,Vương Quốc Anh,,0 USD
XXXLUTZ VERWALTUNGS GMBH,2013-09-10 00:00:00.0,2016-09-09 00:00:00.0,,,"29, Phan Đình Phùng, phường Thảo Điền, quận 2, thành phố Hồ Chí Minh, Việt Nam",,,41-003920,2013-09-10 00:00:00.0,2016-09-09 00:00:00.0,,XXXLutz Verwaltungs GmbH,"Römerstr. 39, 4600 Wels, Austria",43 050111 1000,2009,Áo,,35.000 USD
BAYONG LIMITED,2012-11-07 00:00:00.0,2014-05-08 00:00:00.0,Cộng Hòa Pháp,0909302477,,Christelle Francoise Simone Elisabeth Vigot,Cộng Hòa Pháp,41-003713,2012-11-07 00:00:00.0,2014-05-08 00:00:00.0,,Bayong Limited,"Unit 1010 10/F Miramar Tower, 132 Nathan Road, Tsim Sha Tsui, KL, Hongkong",85222947713,2011,Hồng Kông,,10.000 USD
"DONG JIN INTERNATIONAL CO., LTD",2011-01-13 00:00:00.0,,,,,,,41-003178,2011-01-13 00:00:00.0,,,"Dong Jin International Co., Ltd","1474, U-dong, Haeundae-gu, Busan, Korea",82-51-263-3678,1999,Hàn Quốc,,0 USD
CROWN EQUIPMENT (SINGAPORE) PTE. LTD.,2011-04-22 00:00:00.0,2021-04-22 00:00:00.0,Australia,,"1628, 16, Gemadept Tower,, 2bis-4-6, Lê Thánh Tôn, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Steven Mark Hill,Australia,41-003261,2011-04-22 00:00:00.0,2021-04-22 00:00:00.0,,Crown Equipment (Singapore) Pte. Ltd.,"15 Tuas Avenue 8, Singapore (639230)",6568613669,1978,Singapore,,0 USD
"FOREVER 21., INC",2011-04-22 00:00:00.0,,Hàn Quốc,,,Shin Hun Uk,Hàn Quốc,41-003259,2011-04-22 00:00:00.0,,,"FOREVER 21., INC","9 East Lookerman Street, in the City of Dover, County of Kent, Delaware 19901",213 741 5100,2002,Hoa Kỳ,,0 USD
VIBER MEDIA LTD,2013-12-17 00:00:00.0,2018-12-16 00:00:00.0,Việt Nam,38227305,,Nguyễn Đặng Quỳnh Anh,Việt Nam,41-003994,2013-12-17 00:00:00.0,2018-12-16 00:00:00.0,,Viber Media Ltd,"Filiou Zannetou, 2 C &amp; F Orologas Building, 1st floor, Katholiki, 3021, Limassol, Cyprus",35725349929,2012,Cyprus,,0 USD
HOLCO GROUP LIMITED,2013-11-06 00:00:00.0,2018-05-14 00:00:00.0,Cộng Hòa Pháp,,"ACB Tower, lầu 10, 444A-446, Cách Mạng Tháng 8, phường 11, quận 3, thành phố Hồ Chí Minh, Việt Nam",Ariane Jessica Charlotte Deville,Cộng Hòa Pháp,"79-03959-01
Thương mại",2013-11-06 00:00:00.0,2018-05-14 00:00:00.0,"Thương mại : Bia, rượu,",Holco Group Limited,"Flat/Room 6A, 22/F, Far East Consortium Building, 121 Des Voeux Road Central, Central, Hong Kong",85235908267,2008,Hồng Kông,,10.000 USD
REGENCY FASHION TRADING LIMITED,2013-08-30 00:00:00.0,2018-04-18 00:00:00.0,Sri Lanka,,,Nawarathna M.S.U.K. Bandara,Sri Lanka,41-003916,2013-08-30 00:00:00.0,2018-04-18 00:00:00.0,,Regency Fashion Trading Limited,"Rooms 1009-1012 10/F, K. Wah Centre, 191 Java Road, North Point, Hongkong",85227518622,2012,Hồng Kông,,10.000 USD
NOVARTIS (SINGAPORE) PTE LTD,2013-05-27 00:00:00.0,2021-05-26 00:00:00.0,,,,,,41-003854,2013-05-27 00:00:00.0,2021-05-26 00:00:00.0,,Novartis (Singapore) Pte Ltd,"10 Collyer Quay, # 10 - 01, Ocean Financial Centre, Singapore (049315)",65 67226010,1986,Singapore,,79.089 USD
"SAMIL SOLUTION CO., LTD",2012-10-01 00:00:00.0,2017-10-01 00:00:00.0,,,"85, 2, Xa Lộ Hà Nội, phường Thảo Điền, quận 2, thành phố Hồ Chí Minh, Việt Nam",,,41-003683,2012-10-01 00:00:00.0,2017-10-01 00:00:00.0,,"Samil Solution Co., Ltd","6th Fl, Rio Building, 170 Yeoksam-ro, Gangnam-gu, Seoul, Korea",822-70-8255-0763,2010,Hàn Quốc,,0 USD
"OKATSUNE HAGURUMA SEISAKUSHO CO., LTD.",2012-06-13 00:00:00.0,,Nhật Bản,,,Takabe Yoshiyuki,Nhật Bản,41-003601,2012-06-13 00:00:00.0,,,"Okatsune Haguruma Seisakusho Co., Ltd.","1-17 Kanda-cho, Himeji-shi, Hyogo-ken",81-79-296-4651,1960,Nhật Bản,,0 USD
INTERCOOP HOUSE &amp; GARDEN COOPERATIVE,2015-01-22 11:06:36.819,2023-01-22 00:00:00.0,Việt Nam,,"Căn hộ G1402, The Manor 2, 91, Nguyễn Hữu Cảnh, phường 22, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Tân,Việt Nam,"79-04257-01
Dịch vụ",2015-01-22 11:06:36.819,2023-01-22 00:00:00.0,"Dịch vụ : Dịch vụ bất động sản,",Intercoop House &amp; Garden Cooperative,"Zentralstrasse 63 2502 Biel/Bienne, Switzerland",41 (0)32 545 0000,0,Thụy Sĩ,,0 USD
"LG CHEM, LTD.",2015-03-19 16:56:49.822,2018-03-19 00:00:00.0,,38220408,"2B, A &amp; B, 10, 76A, Lê Lai, phường Bến Thành, quận 1, thành phố Hồ Chí Minh, Việt Nam",,,"41-004289
Sản xuất",2015-03-19 16:56:49.822,"2018-03-19 00:00:00.0
Sản xuất","Sản xuất
Sản xuất : Hóa chất
Kinh doanh tổng hợp,","LG Chem, Ltd.","(Yeouido-dong) 128, Yeoui-daero, Yeongdeungpo-gu, Seoul, Korea",82-2-37737663,0,Hàn Quốc,Seoul,0 USD
"JIANGSU MUYANG GROUP CO., LTD",2011-07-26 00:00:00.0,2021-06-27 00:00:00.0,Việt Nam,,"3, 361, Lê Trọng Tấn, phường Sơn Kỳ, quận Tân Phú, thành phố Hồ Chí Minh, Việt Nam",MAI MINH HÙNG,Việt Nam,41-003341,2011-07-26 00:00:00.0,2021-06-27 00:00:00.0,,"Jiangsu Muyang Group Co., Ltd","No.1, Muyang Road, Industrial Park, Hanjiang District, Yangzhou City, China.",,1996,Trung Quốc,,0 USD
MUNDIPHARMA PHARMACEUTICALS PTE. LTD.,2012-10-15 00:00:00.0,2018-10-12 00:00:00.0,,,"706, 7, 111A, Pasteur, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",,,41-003692,2012-10-15 00:00:00.0,2018-10-12 00:00:00.0,,Mundipharma Pharmaceuticals Pte. Ltd.,"1 Marina Boulevard, # 28 - 00, One Marina Boulevard, Singapore (018989)",65 65111165,2004,Singapore,,2 USD
CHIIFECO INDUSTRIES NIGERIA LIMITED,2011-11-14 00:00:00.0,,Nigeria,,,Izundu Lotanna Chukwudi,Nigeria,41-003444,2011-11-14 00:00:00.0,,,Chiifeco Industries Nigeria Limited,"No. 41 Tony Umeh Street Awada, Onitsha, Nigeria",2348038067115,1990,Nigeria,,0 USD
NETVISION TELECOM,2011-06-03 00:00:00.0,2016-06-03 00:00:00.0,Việt Nam,37158070,"109, Tân Bình Apartment Building, 1, 5-7, Hoàng Việt , Phường 01, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",TRẦN MINH TRÍ,Việt Nam,41-003305,2011-06-03 00:00:00.0,2016-06-03 00:00:00.0,,Netvision Telecom,"412 Migun Techno World Bldg, 533, Yongsan-dong, Yuseong-gu, Daejeon, Korea",+82-42-931-4130,2000,Hàn Quốc,,0 USD
VISION RYS LTD,2012-08-08 00:00:00.0,2015-08-08 00:00:00.0,Israel,01282949440,"303, 24, Vũ Huy Tấn, Phường 01, quận Bình Thạnh, thành phố Hồ Chí Minh, Việt Nam",Roi Shuhami,Israel,41-003640,2012-08-08 00:00:00.0,2015-08-08 00:00:00.0,,Vision Rys Ltd,"31 Ha' Barzel, Tel Aviv, Israel",+97236446460,2007,Israel,,0 USD
INTER CROP COMPANY LIMITED.,2012-05-08 00:00:00.0,2017-05-08 00:00:00.0,Thái Lan,,"4/5B, Chánh Hưng, Phường 01, quận 8, thành phố Hồ Chí Minh, Việt Nam",Kritsada Kulvivat,Thái Lan,41-003572,2012-05-08 00:00:00.0,2017-05-08 00:00:00.0,,Inter Crop Company Limited.,"No. 71/7 Setsiri Road, Samsennai Sub-district, Phayathai District, Bangkok Metropolis, Thailand",(66)022714343,1988,Thái Lan,,0 USD
FORBES MARSHALL PRIVATE LIMITED,2014-04-08 00:00:00.0,2015-04-08 00:00:00.0,Ấn Độ,,,Anirudha Kishor Bhoite,Ấn Độ,41-004056,2014-04-08 00:00:00.0,2015-04-08 00:00:00.0,,Forbes Marshall Private Limited,"A-34/35, MIDC Estate, H Block, Pimpri, Pune - 411018, India",91 020 27442020,1985,Ấn Độ,,0 USD
ANDIRA VIETNAM B.V.,2012-09-10 00:00:00.0,2017-06-12 00:00:00.0,,39151770,,,,41-001385,2012-09-10 00:00:00.0,2017-06-12 00:00:00.0,,Andira Vietnam B.V.,"Zeelt 88, 2954BJ Alblasserdam, Netherlands",0104301857,1996,Hà Lan,,0 USD
DORMA FAR EAST PTE. LTD.,2011-06-07 00:00:00.0,2021-06-07 00:00:00.0,,,,,,41-003307,2011-06-07 00:00:00.0,2021-06-07 00:00:00.0,,Dorma Far East Pte. Ltd.,"31 Gul Lane, Singapore (629425), Singapore",6562687633,1981,Singapore,,0 USD
INSPIRE - TECH PTE LTD,2012-12-19 00:00:00.0,2016-06-30 00:00:00.0,Việt Nam,,,Nguyễn thành Nhân,Việt Nam,41-003746,2012-12-19 00:00:00.0,2016-06-30 00:00:00.0,,Inspire - Tech Pte Ltd,"171 Chin Swee Road, # 05 - 06, Singapore (169877)",65 62550010,2000,Singapore,,82.090 USD
SCCP PAYMENT SERVICES HOLDINGS PTE. LTD.,2013-06-19 00:00:00.0,2016-06-18 00:00:00.0,Mỹ,,,DAVIS JAMES FRANCIS,Mỹ,41-003875,2013-06-19 00:00:00.0,2016-06-18 00:00:00.0,,SCCP Payment Services Holdings Pte. Ltd.,"15A Duxton Road, Singapore (089481)",65 62222883,2010,Singapore,,1 USD
LEITZ TOOLING ASIA PTE LTD,2012-04-19 00:00:00.0,2013-04-18 00:00:00.0,,39362607,,,,41-003564,2012-04-19 00:00:00.0,2013-04-18 00:00:00.0,,Leitz Tooling Asia Pte Ltd,"1 Clementi Loop, # 04 - 04, Clementi West Distripark, Singapore (129808)",65 64625368,1993,Singapore,,400.073 USD
VĂN PHÒNG ĐẠI DIỆN STANLEY WORKS ASIA PACIFIC PTE LTD TẠI THÀNH PHỐ HỒ CHÍ MINH.,2013-05-23 00:00:00.0,2018-05-22 00:00:00.0,,,,,,41-003852,2013-05-23 00:00:00.0,2018-05-22 00:00:00.0,,Stanley Works Asia Pacific Pte Ltd,"25 Senoko South Road, Woodland East Industrial Estate, Singapore (758081)",65 67522001,0,Singapore,,32.284.224 USD
TABUCHI CORP,2013-04-02 00:00:00.0,2018-04-01 00:00:00.0,Việt Nam,,,Nguyễn Tri Phương,Việt Nam,41-003818,2013-04-02 00:00:00.0,2018-04-01 00:00:00.0,,Tabuchi Corp,"2-1-56 Uriwariminami, Hirano-ku, Osaka-shi, Osaka, Japan",81-6-6708-0150,1952,Nhật Bản,,0 USD
ACTIVIA INTERNATIONAL (PTE.) LTD.,2010-12-17 00:00:00.0,2015-12-17 00:00:00.0,Việt Nam,,"501, 31C, Lý Tự Trọng, Phường 01, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Trung Nam,Việt Nam,41-003150,2010-12-17 00:00:00.0,2015-12-17 00:00:00.0,,Activia International (Pte.) Ltd.,"160 Paya Lebar Road, #04-03 Orion @ Paya Lebar, Singapore (409022)",6568489815/6568489415,2008,Singapore,,0 USD
